processo,analista,favoravel,classe,assunto,relator,comarca,orgao_julgador,data_julgamento,data_publicacao,idacordao,ementa
10093368820218260482,emily,banco,apelação cível,bancários,penna machado,presidente prudente,14ª câmara de direito privado,2022-02-10,2022-02-10,15386852.0,"apelação cível. ação declaratória de inexigibilidade de débito c.c. indenização por danos morais. sentença de improcedência. inconformismo. desacolhimento. empréstimos consignados. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. aplicabilidade do cdc que não implica na procedência da ação. empréstimo consignado com desconto em benefício previdenciário. refinanciamento de empréstimo anterior, cuja contratação o autor não nega ter firmado. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa o inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. biometria facial e assinatura digital realizadas. fotografia coincidente com aquela constante no documento de identificação. requisitos legais preenchidos pelo requerido. autor que, inclusive, confirmou os termos do contrato por meio de telefonema, cuja gravação foi disponibilizada pelo réu. ausente falha na prestação de serviços (artigo 14 do código de defesa do consumidor). sentença mantida. recurso desprovido."
10098979320218260068,emily,banco,apelação cível,bancários,penna machado,barueri,14ª câmara de direito privado,2022-02-14,2022-02-14,15393749.0,"apelação cível. ação declaratória de inexistência de débito c/c indenização de dano moral e material. bancários. sentença de improcedência. inconformismo. não acolhimento. empréstimos consignados. aplicabilidade do código de defesa do consumidor. exegese da súmula nº 297 do superior tribunal de justiça. aplicabilidade do cdc que não implica na procedência da ação. empréstimo consignado com desconto em benefício previdenciário. refinanciamento de empréstimo anterior. ausência de verossimilhança nas alegações autorais. banco réu que comprova a contratação (artigo 373, ii do código de processo civil). contrato eletrônico. instrução normativa o inss/pres nº 28/2008 que autoriza a contratação por meio digital. autenticidade da contratação. assinatura digital realizada. fotografia coincidente com aquela constante no documento de identificação. contratação hígida. comprovação da disponibilização dos créditos em conta em favor do ora apelante. inexistência de ilícito. sentença mantida. ratificação, nos termos do artigo 252, do regimento interno. recurso não provido, majorando-se a verba honorária em sede recursal ao percentual de 12% (doze por cento) sobre o valor da causa, observada a gratuidade processual."
21529941320228260000,emily,banco,agravo de instrumento,contratos bancários,mendes pereira,ribeirão preto,15ª câmara de direito privado,2023-01-31,2023-01-31,16415904.0,"agravo de instrumento - decisão recorrida que determinou ao réu cessar os descontos mensais no benefício previdenciário da autora, referente às parcelas dos empréstimos consignados, sob a pena de multa diária de r$ 500,00, limitada a r$ 10.000,00, por ocorrência - tutela antecipada - inadmissibilidade - alegação de não contratação de empréstimos bancários - agravante que juntou prova documental atestando a contratação e disponibilização do dinheiro à recorrida - decisão reformada para permitir a continuidade dos descontos no benefício previdenciário da agravada, quanto aos empréstimo objeto da demanda originária - recurso provido para esse fim."
10086519820228260077,emily,banco,apelação cível,bancários,roberto mac cracken,birigüi,22ª câmara de direito privado,2023-03-21,2023-03-21,16578904.0,"declaratória c/c danos morais. banco réu que comprova a celebração da operação bancária questionado pelo autor por meio de reconhecimento facial (""selfie""). provas documentais que também demonstram que os dados pessoais relacionados ao apelante são compatíveis com aqueles existentes no momento da contratação e que estariam vinculados ao sistema eletrônico da instituição financeira, o que determina a efetiva demonstração de que a avença não teria sido celebrado de forma irregular. sentença mantida. recurso não provido."
10018984620218260438,emily,banco,apelação cível,bancários,roberto mac cracken,penápolis,22ª câmara de direito privado,2022-06-23,2022-06-23,15784628.0,"declaratória c/c danos morais. banco réu que comprova a celebração da operação bancária questionado pelo autor por meio de reconhecimento facial (""selfie""). provas documentais que também demonstram que os dados pessoais relacionados ao apelante são compatíveis com aqueles existentes no momento da contratação e que estariam vinculados ao sistema eletrônico da instituição financeira, o que determina a efetiva demonstração de que a avença não teria sido celebrado de forma irregular. litigância de má-fé. inocorrência. ausência de dolo processual. reforma da r. sentença apenas quanto a imposição de multa por tal fundamento. 
recurso parcialmente provido."
10015134820208260369,emily,banco,apelação cível,bancários,roberto mac cracken,buritama,22ª câmara de direito privado,2022-01-21,2022-01-21,15335076.0,"declaratória c/c danos morais. banco réu que comprova a celebração da operação bancária questionado pelo autor por meio de reconhecimento facial (""selfie""). provas documentais que também demonstram que os dados pessoais relacionados ao apelante são compatíveis com aqueles existentes no momento da contratação e que estariam vinculados ao sistema eletrônico da instituição financeira, o que determina a efetiva demonstração de que a avença não teria sido celebrado de forma irregular. sentença mantida. recurso não provido."
10218014420208260554,emily,banco,apelação cível,bancários,roberto mac cracken,santo andré,22ª câmara de direito privado,2022-07-27,2022-07-27,15887056.0,"declaratória c/c danos morais. banco réu que comprova a celebração da operação bancária questionado pelo autor por meio de reconhecimento facial (""selfie""). provas documentais que também demonstram que os dados pessoais relacionados ao apelante são compatíveis com aqueles existentes no momento da contratação e que estariam vinculados ao sistema eletrônico da instituição financeira, o que determina a efetiva demonstração de que a avença não teria sido celebrada de forma irregular. 
recurso não provido."
10000129120228260077,emily,banco,apelação cível,bancários,luis carlos de barros,birigüi,20ª câmara de direito privado,2022-06-09,2022-06-09,15751176.0,"ação declaratória de inexistência de débito c.c. repetição e indenizatória. contrato de cartão de crédito consignável. rmc. contratação de empréstimo consignado por meio digital. assinatura eletrônica. juntada de cópia do instrumento contratual celebrado entre as partes com foto da parte autora. depósito do valor do empréstimo na conta do autor. existência de relação jurídica entre as partes. recurso do requerido provido, desprovido o recurso do autor."
10078726920228260037,emily,banco,apelação cível,bancários,spencer almeida ferreira,araraquara,38ª câmara de direito privado,2022-10-31,2022-10-31,16201116.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de procedência – negativa da autora – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta da autora – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado - recurso provido.
10077335020218260297,emily,banco,apelação cível,bancários,spencer almeida ferreira,jales,38ª câmara de direito privado,2022-08-16,2022-08-16,15953250.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa do autor – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta do autor – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – litigância de má-fé mantida – recurso não provido.
10018946520218260484,emily,banco,apelação cível,bancários,spencer almeida ferreira,promissão,38ª câmara de direito privado,2022-08-01,2022-08-01,15903254.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa da autora – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta da autora – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – recurso não provido.
10114746320218260438,emily,banco,apelação cível,bancários,spencer almeida ferreira,penápolis,38ª câmara de direito privado,2022-04-13,2022-04-13,15580664.0,apelação - ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa da autora – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta da autora – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – litigância de má-fé mantida – recurso não provido.
10010271620218260438,emily,banco,apelação cível,bancários,spencer almeida ferreira,penápolis,38ª câmara de direito privado,2021-11-16,2021-11-16,15189974.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa da autora – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta da autora – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – litigância de má-fé mantida – recurso não provido.
10023206120218260457,emily,banco,apelação cível,bancários,spencer almeida ferreira,pirassununga,38ª câmara de direito privado,2022-05-10,2022-05-10,15651923.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa do autor – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta do consumidor – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – recurso do réu provido – recurso do autor não provido.
10064790720218260438,emily,banco,apelação cível,bancários,spencer almeida ferreira,penápolis,38ª câmara de direito privado,2022-05-24,2022-05-24,15696050.0,apelação- ação declaratória de inexistência de débito c.c. devolução de valores e indenização por danos morais - contrato de empréstimo - sentença de improcedência – negativa da autora – réu que demonstra que o contrato foi firmado mediante biometria facial – validade – valor contratado depositado na conta da autora – regularidade dos descontos – devolução de valores indevida – dano moral não caracterizado – litigância de má-fé mantida – recurso não provido.
10003447020198260495,emily,banco,apelação cível,bancários,henrique rodriguero clavisio,registro,18ª câmara de direito privado,2022-03-04,2022-03-07,15456935.0,"inexigibilidade de débito c/c repetição de indébito – contrato bancário – empréstimo pessoal – cdc – ausência de verossimilhança nas alegações do autor – inversão do ônus da prova (artigo 6º, viii, do código de defesa do consumidor) – não cabimento – prova do vínculo e da efetiva prestação de serviços – artigo 373, ii do cpc – documento hábil (propostas de adesão a crédito pessoal devidamente assinadas, com fotografia do autor no ato da contratação, em biometria facial; além de comprovante de transferência do montante liberado) – refinanciamento de operações anteriores com liberação do saldo residual (troco) em conta de titularidade do contratante – regularidade da contratação e legitimidade dos descontos em conta bancária – reconhecimento – contrato bancário – empréstimo pessoal – limitação de desconto relativo às parcelas contratuais – descabimento – débitos em conta corrente – violação de direito – não reconhecimento – incontroversa cláusula contratual que autoriza o desconto em conta corrente das parcelas e encargos de mútuo – circunstância especial facilitadora da concessão do crédito em condições de juros e prazos mais vantajosos para o mutuário – ausência de confusão entre conta corrente e descontos em benefício previdenciário – finalidades e natureza distintas – ausência de previsão legal de limitação dos descontos realizados em conta corrente – stj, resp nº 1586910/sp – valor do débito que inviabiliza a liquidação mensal – regra que implica em eventual resolução do contrato pela insolvência do mutuário – sentença reformada neste capítulo – sucumbência exclusiva do autor mantida.
recurso do réu provido, e negado provimento ao recurso do autor."
10015711120218260274,emily,banco,apelação cível,cartão de crédito,afonso bráz,itápolis,17ª câmara de direito privado,2022-07-07,2022-07-07,15833688.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. contrato de cartão de crédito consignado não reconhecido pelo autor. demonstrada a regularidade da contratação realizada por meio eletrônico. inexistência de instrumento físico. adesão do requerente a contrato de seguro prestamista. lançamento do prêmio do seguro na fatura do cartão de crédito. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário do demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. litigância de má-fé caracterizada. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil. sentença mantida. recurso desprovido."
10032612720218260484,emily,banco,apelação cível,bancários,afonso bráz,promissão,17ª câmara de direito privado,2022-12-15,2022-12-15,16334567.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. empréstimo consignado não reconhecido pela autora. demonstrada a regularidade da contratação realizada por meio eletrônico. inexistência de instrumento físico. comprovada a disponibilização do crédito na conta corrente da requerente. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário da demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. 
litigância de má-fé. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil. 
recurso desprovido."
10103063920228260196,emily,banco,embargos de declaração cível,bancários,afonso bráz,franca,17ª câmara de direito privado,2022-11-03,2022-11-03,16207110.0,"embargos de declaração. apelação. declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. acórdão que deu provimento ao recurso do embargante para julgar improcedente os pedidos. inocorrência de omissão, contradição ou obscuridade, nos termos do artigo 1.022 do código de processo civil. ausência das hipóteses autorizadoras do recurso integrativo. rediscussão da matéria. nítido caráter infringente. embargos rejeitados."
10039912720228260541,emily,banco,apelação cível,bancários,afonso bráz,santa fé do sul,17ª câmara de direito privado,2023-02-02,2023-02-02,16424268.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. cartão de crédito consignado não reconhecido pelo autor. demonstrada a regularidade da contratação realizada por meio eletrônico. inexistência de instrumento físico. utilização do cartão de crédito para saque. comprovada a disponibilização do crédito na conta corrente do requerente. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário do demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. 
litigância de má-fé. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil. 
recurso desprovido."
10043617920228260161,emily,banco,embargos de declaração cível,bancários,afonso bráz,diadema,17ª câmara de direito privado,2022-12-15,2022-12-15,16334675.0,"embargos de declaração. apelação. declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. acórdão que deu provimento ao recurso do embargado para julgar improcedente os pedidos. inocorrência de omissão, contradição ou obscuridade, nos termos do artigo 1.022 do código de processo civil. ausência das hipóteses autorizadoras do recurso integrativo. rediscussão da matéria. nítido caráter infringente. objetivo de acesso a recursos aos tribunais superiores. embargos rejeitados."
10077263620228260196,emily,banco,apelação cível,bancários,afonso bráz,franca,17ª câmara de direito privado,2022-09-29,2022-09-29,16096459.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. empréstimo consignado não reconhecido pelo autor. demonstrada a regularidade da contratação realizada por meio eletrônico. inexistência de instrumento físico. comprovada a disponibilização do crédito na conta corrente do requerente. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário do demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. 
litigância de má-fé. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil. 
recurso desprovido."
10003736920218260651,emily,banco,apelação cível,bancários,afonso bráz,valparaíso,17ª câmara de direito privado,2022-06-22,2022-06-23,15785055.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. empréstimo consignado não reconhecido pelo autor. demonstrada a regularidade da contratação realizada por meio eletrônico. inexistência de instrumento físico. comprovada a disponibilização do crédito na conta corrente do requerente. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário do demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. litigância de má-fé caracterizada. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil. sentença mantida. recurso desprovido."
10068962320228260438,emily,banco,apelação cível,bancários,afonso bráz,penápolis,17ª câmara de direito privado,2023-03-20,2023-03-20,16570645.0,"declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. empréstimo consignado não reconhecido pela autora. prova documental comprova a existência de relação jurídica entre as partes, bem como a regularidade dos débitos que ensejaram os descontos no benefício do demandante. contratos assinados por meio de biometria facial (selfie) e disponibilização dos valores em conta de titularidade da autora. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário da requerente. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. 
litigância de má-fé. requerente que pretendeu obter a declaração de inexigibilidade, restituição de valores e indenização por dano moral, em razão de débito que sabia ser legítimo. artigo 80, incisos ii e iii do código de processo civil.
recurso desprovido."
10062753420228260597,emily,banco,embargos de declaração cível,bancários,afonso bráz,sertãozinho,17ª câmara de direito privado,2023-03-20,2023-03-20,16570739.0,"embargos de declaração. declaratória de inexigibilidade de débito c.c. repetição de indébito e indenização por dano moral. empréstimo consignado. acórdão que negou provimento ao recurso do embargante. inocorrência de omissão, contradição e erro material, nos termos do artigo 1.022 do código de processo civil. rediscussão da matéria. nítido caráter infringente. embargos rejeitados."
10184608720218260032,emily,banco,apelação cível,bancários,afonso bráz,araçatuba,17ª câmara de direito privado,2022-09-08,2022-09-08,16027716.0,"declaratória de inexistência de débito c.c. indenização por dano moral. empréstimo consignado em benefício previdenciário. prova documental comprova a existência de relação jurídica entre as partes, bem como a regularidade do débito que ensejou os descontos no benefício da apelante. contrato assinado por meio da biometria facial (selfie), com identificação da geolocalização e de ip, além de comprovação de disponibilização do valor em conta de titularidade da autora. débito exigível. indenização por dano moral descabida. litigância de má-fé caracterizada. mantida a sanção prevista no art. 81 do cpc. sentença mantida. recurso desprovido."
10417482020228260100,emily,banco,apelação cível,bancários,afonso bráz,são paulo,17ª câmara de direito privado,2023-03-14,2023-03-14,16549193.0,"""ação de obrigação de fazer c/c repetição de indébito"". cartão de crédito consignado. alegação da autora de que contratou empréstimo consignado simples e foi surpreendida com desconto ""empréstimo reserva de margem cartão de crédito"" em seu benefício previdenciário. termo assinado pela autora que consta expressamente que se trata de cartão de crédito consignado. autorização para constituição de reserva de margem consignável, para pagamento do valor mínimo da fatura mensal do cartão. indenização por dano moral descabida. sentença reformada para julgar a ação improcedente. recurso provido."
10099225420218260344,emily,banco,apelação cível,bancários,afonso bráz,marília,17ª câmara de direito privado,2022-06-09,2022-06-09,15750011.0,"declaratória c.c. indenização por dano material e moral. empréstimo consignado em benefício previdenciário. alegação de fraude na contratação. ausência de verossimilhança das alegações. autora que refinanciou o débito após o ajuizamento desta demanda, mediante assinatura de cédula de crédito bancário, não impugnada por ela, para quitação do contrato objeto da inicial. vício de consentimento alegado nas razões recursais, que é contraditória à negativa de contratação sustentada e consiste em verdadeira inovação recursal. débito exigível. indevido o ressarcimento de valores descontados e indenização por dano moral. litigância de má-fé mantida. improcedência mantida. recurso desprovido."
10002394020228260220,emily,banco,apelação cível,contratos bancários,afonso bráz,guaratinguetá,17ª câmara de direito privado,2023-03-16,2023-03-16,16560295.0,ação de rescisão contratual c.c. restituição de valores e indenização por dano moral. contratação de cartão de crédito consignado e saques não reconhecidos pela autora. demonstrada a regularidade das contratações realizadas por meio eletrônico. inexistência de instrumento físico. disponibilização dos créditos na conta corrente da requerente. exigibilidade reconhecida. regularidade dos descontos efetuados no benefício previdenciário da demandante. ausência de ilegalidade na conduta da instituição financeira. descabida a restituição de valores. indenização por dano moral indevida. recurso provido.
